sentences,sentenceIndex,paragraphIndex,section,wikiId,meetup,people,place,timeExpression
"She began to record under various names such as Sherry Lee, Jackie Dee, and Jackie Shannon, with mixed success.",0,8,== Early career ==,328330,C,1,1,0
"Billboard noted (June 10, 1957) that Sherry Lee Myers, ""16-year-old C&W singer of Batavia, Illinois,"" had recently signed to George Goldner's Gone label in New York as a rockabilly artist, and that her ""handlers"" (Irving Schacht and Paul Kallett) had changed her name to Jackie Dee.",1,8,== Early career ==,328330,Y,2,2,2
"Her only release on Gone included ""I'll Be True"" (A) and ""How Wrong I Was"" (B), which appeared in both 78 rpm and 45 rpm versions.",2,8,== Early career ==,328330,N,0,0,0
"Jackie almost certainly sang these songs at the Uptown Theater in Philadelphia on July 3, 1957, and at the Paramount Theater in New York, two weeks later, with Alan Freed's Big Rock 'n' Roll Show.",3,8,== Early career ==,328330,Y,1,3,2
"However, her interpretations of country songs ""Buddy"" (as Jackie Dee) and ""Trouble"" (as Jackie Shannon) gained the attention of rock and roll star Eddie Cochran, who arranged for her to travel to California to meet his girlfriend, singer-songwriter Sharon Sheeley, who formed a writing partnership with DeShannon in 1960.",4,8,== Early career ==,328330,Y,4,2,1
"Their partnership produced Brenda Lee's hits ""Dum Dum"" and ""Heart in Hand"".",5,8,== Early career ==,328330,C,2,1,0
"In 1960, DeShannon signed with Liberty Records, adopting the name Jackie DeShannon, believed to be the name of an Irish ancestor, after executives at Liberty thought the name Sharon Myers would not help sell records.",6,8,== Early career ==,328330,C,2,0,1
"In a Fresh Air interview (June 14, 2010), DeShannon said that she chose ""Jackie"" as a cross-gender name.",7,8,== Early career ==,328330,C,0,0,1
"Since she had a low singing voice, she could be heard as either male or female.",8,8,== Early career ==,328330,N,0,0,0
"When she found that ""Jackie Dee"" was too similar to Brenda Lee, Sandra Dee, et al., she changed it to Jackie Dee Shannon, which people heard as DeShannon.",9,8,== Early career ==,328330,C,3,1,0
The name stuck.,10,8,== Early career ==,328330,N,0,0,0
"Armed with her new name, she made the WLS Chicago radio survey with the single ""Lonely Girl"" in late 1960.",0,9,== Early career ==,328330,C,0,1,1
"A string of mostly flop singles followed, although ""The Prince"" bubbled under at No. 108 in the United States in early 1962, and ""Faded Love"" became her first US Billboard Top 100 entry, squeaking in at No. 97 in February 1963.",1,9,== Early career ==,328330,C,0,1,2
"She fared better with the Sonny Bono-Jack Nitzsche song ""Needles and Pins"" and the self-penned ""When You Walk in the Room"" later in 1963.",2,9,== Early career ==,328330,C,0,1,1
"Both reached the lower rungs of the US pop charts, but were Top 40 hits in Canada, where ""Needles and Pins"" made it all the way to No. 1.",3,9,== Early career ==,328330,C,0,2,0
"""Needles and Pins"" and ""When You Walk in the Room"" later became US and UK hits for The Searchers.",4,9,== Early career ==,328330,C,0,3,0
"A version of ""When You Walk in the Room"" by Pam Tillis topped the country charts in 1994, and the song was also recorded by ex-Byrds member Chris Hillman in 1998 and by ex-ABBA vocalist Agnetha Fältskog in 2004.",5,9,== Early career ==,328330,C,4,0,3
"DeShannon recorded many other singles that encompassed teen pop, country ballads, rockabilly, gospel, and Ray Charles-style soul that didn't fare as well on the charts.",0,10,== Early career ==,328330,N,0,0,0
During these years it was her songwriting and public profile rather than her recording career that kept her contracted to Liberty.,1,10,== Early career ==,328330,C,0,0,1
DeShannon dated Elvis Presley and formed friendships with The Everly Brothers and Ricky Nelson.,2,10,== Early career ==,328330,C,3,0,0
She also co-starred and sang with Bobby Vinton in the 1964 teen surf movie Surf Party.,3,10,== Early career ==,328330,C,2,0,1
"DeShannon's biggest break came in February 1964 when she supported The Beatles on their first US tour, and formed a touring band with guitarist",0,11,== Early career ==,328330,C,0,0,1
Ry Cooder.,1,11,== Early career ==,328330,C,2,0,0
"DeShannon co-wrote ""Breakaway"" with Sharon Sheeley, which was recorded by Irma Thomas in 1964, and by Tracey Ullman in 1983.",2,11,== Early career ==,328330,C,5,0,2
"She also wrote ""Don't Doubt Yourself Babe"" for Mr. Tambourine Man, the 1965 debut album of The Byrds.",3,11,== Early career ==,328330,C,1,0,1
Her music at this stage was heavily influenced by the American West Coast sounds and folk music.,4,11,== Early career ==,328330,C,0,1,0
"Staying briefly in England in 1965, DeShannon formed a songwriting partnership with Jimmy Page, which resulted in the songs ""Dream Boy"" and ""Don't Turn Your Back on Me"".",5,11,== Early career ==,328330,C,2,0,1
"DeShannon also wrote material for singer Marianne Faithfull, including her Top Ten UK and US hit ""Come and Stay With Me"", which became Faithfull's biggest UK hit, peaking at No. 4 in 1965.",6,11,== Early career ==,328330,C,1,0,1
"That same year, Cher covered the song on her solo debut album All I Really Want to Do.",7,11,== Early career ==,328330,C,1,0,1
"It would be three more years before Jackie DeShannon would record the song for herself, on her 'Laurel Canyon' album in 1968.",8,11,== Early career ==,328330,C,2,0,2
She also appeared on the television show Ready Steady Go!,9,11,== Early career ==,328330,N,0,0,0
==,0,12,== Hit love songs ==,328330,N,0,0,0
Hit love songs ==,1,12,== Hit love songs ==,328330,N,0,0,0
"Moving to New York City, DeShannon co-wrote with Randy Newman, producing such songs as ""She Don't Understand Him Like I Do"" and ""Did He Call Today Mama?"", as well as writing ""You Have No Choice"" for Delaney Bramlett.",0,13,== Hit love songs ==,328330,Y,4,1,1
"In March 1965, DeShannon recorded Burt Bacharach and Hal David's ""What the World Needs Now Is Love"", which led to club tours and regular appearances on television and went to No. 7 on the US charts and No. 1 in Canada.",1,13,== Hit love songs ==,328330,Y,4,1,2
(DeShannon's recording of the song was subsequently used in the 1969 film Bob & Carol & Ted & Alice).,2,13,== Hit love songs ==,328330,C,0,0,1
"She appeared in the 1967 film C'mon, Let's Live a Little, with Bobby Vee, as a folk singer.",3,13,== Hit love songs ==,328330,C,2,0,1
"DeShannon continued writing and recording, but it was not until 1969 that she scored her next smash single and album, both entitled ""Put a Little Love in Your Heart"".",0,14,== Hit love songs ==,328330,C,0,0,1
"The self-penned single (co-written with her brother, Randy Myers and Jimmy Holiday) sold over one million copies, and was awarded a gold disc.",1,14,== Hit love songs ==,328330,C,1,0,0
"""Put a Little Love in Your Heart"" was performed as the closing number at the Music for UNICEF Concert, broadcast worldwide from the United Nations General Assembly in 1979, and was covered in 1988 as a duet by Annie Lennox and Al Green (reaching No. 9 in the Billboard Hot 100), and by Dolly Parton in 1993.",2,14,== Hit love songs ==,328330,C,5,0,3
"The single ""Love Will Find a Way"" from the same album was also a moderate hit.",3,14,== Hit love songs ==,328330,N,0,0,0
==,0,15,== Later career ==,328330,N,0,0,0
Later career ==,1,15,== Later career ==,328330,N,0,0,0
"Switching to Atlantic Records in 1970 and moving to Los Angeles, DeShannon recorded the critically acclaimed albums Jackie (1972) and Your Baby Is a Lady (1974), but they failed to produce the same commercial success as previous releases.",0,16,== Later career ==,328330,C,0,1,3
"In 1973, she was invited by Van Morrison to sing on his album, Hard Nose the Highway (singing backup on both the title track and ""Warm Love"").",1,16,== Later career ==,328330,C,2,0,1
"In 1974, DeShannon released New Arrangement for Columbia Records.",0,17,== Later career ==,328330,C,0,0,1
"She co-wrote four songs on the album with Donna Weiss, including ""Queen of the Rodeo"" and ""Bette Davis Eyes"".",1,17,== Later career ==,328330,C,4,0,0
"The latter went on to become a worldwide No. 1 single for Kim Carnes in 1981, earning Weiss and DeShannon the 1982 Grammy Award for Song of the Year.",2,17,== Later career ==,328330,C,2,0,3
"She released You're the Only Dancer in 1977, and a single from that album, ""Don't Let The Flame Burn Out"", was a minor hit, reaching No. 65 in the Billboard Hot 100.",3,17,== Later career ==,328330,C,0,0,1
DeShannon continued to record into the 21st century.,4,17,== Later career ==,328330,C,0,0,1
"She released You Know Me, an album of original songs, for Varèse Sarabande in 2000, and When You Walk in the Room, a new recording of her best-known songs, in 2011.",5,17,== Later career ==,328330,C,0,0,2
She was portrayed by singer Liz Phair in an episode of American Dreams.,6,17,== Later career ==,328330,C,2,0,0
"On June 17, 2010, DeShannon was inducted into the Songwriters Hall of Fame.",7,17,== Later career ==,328330,C,0,0,1
"In 2012 she wrote and recorded ""For Africa, In Africa"", a song inspired by the urgent need for action to provide clean water for the African Continent.",8,17,== Later career ==,328330,C,0,2,1
"Using her continuing access and friendship with Paul McCartney and Ringo Starr, DeShannon has appeared as a contributing entertainment broadcast correspondent reporting historical anecdotes and current touring and personal news and publicity pertaining to the two surviving Beatles for Breakfast with the Beatles on Sirius XM Satellite Radio on the weekends since October 2009.",9,17,== Later career ==,328330,C,2,0,2
==,0,18,== Personal life ==,328330,N,0,0,0
Personal life ==,1,18,== Personal life ==,328330,N,0,0,0
"She had a brother, Randy James Myers, with whom she has sometimes written songs.",0,19,== Personal life ==,328330,C,1,0,0
"In the mid 1960s, she was a companion of Jimmy Page and dated Love guitarist Bryan MacLean.",1,19,== Personal life ==,328330,C,3,0,1
"It is likely that Page wrote the song ""Tangerine"" (which appeared on the third Led Zeppelin album) after the breakup of his relationship with DeShannon in early 1965.",2,19,== Personal life ==,328330,C,0,0,1
"Her first husband was Liberty Records executive Irving ""Bud"" Dain, whom she married on January 29, 1966 (annulled in 1967).",3,19,== Personal life ==,328330,C,0,0,2
DeShannon has been married to singer-songwriter and film composer Randy Edelman since 1976.,4,19,== Personal life ==,328330,C,2,0,1
"They have one son, Noah (born 1978).",5,19,== Personal life ==,328330,C,1,0,1
==,0,20,== Discography ==,328330,N,0,0,0
Discography ==,1,20,== Discography ==,328330,N,0,0,0
===,0,21,== Discography == | === Albums ===,328330,N,0,0,0
Albums ===,1,21,== Discography == | === Albums ===,328330,N,0,0,0
Jackie DeShannon (1963),0,22,== Discography == | === Albums ===,328330,C,2,0,1
Breakin' It Up on the Beatles Tour (1964),0,23,== Discography == | === Albums ===,328330,C,0,0,1
Don't Turn Your Back on Me (1964),0,24,== Discography == | === Albums ===,328330,C,0,0,1
"Surf Party (1964, soundtrack)",0,25,== Discography == | === Albums ===,328330,C,0,0,1
This Is Jackie DeShannon (1965),0,26,== Discography == | === Albums ===,328330,C,2,0,1
Jackie:,0,27,== Discography == | === Albums ===,328330,N,0,0,0
In the Wind (1965),1,27,== Discography == | === Albums ===,328330,C,0,0,1
"You Won't Forget Me (1965, compilation)",0,28,== Discography == | === Albums ===,328330,C,0,0,1
"C'mon, Let's Live a Little (1966, soundtrack)",0,29,== Discography == | === Albums ===,328330,C,0,0,1
Are You Ready for This?,0,30,== Discography == | === Albums ===,328330,N,0,0,0
(1966),1,30,== Discography == | === Albums ===,328330,C,0,0,1
New Image (1967),0,31,== Discography == | === Albums ===,328330,C,0,0,1
For You (1967),0,32,== Discography == | === Albums ===,328330,C,0,0,1
Me About You (1968),0,33,== Discography == | === Albums ===,328330,C,0,0,1
"What the World Needs Now Is Love (1968, compilation)",0,34,== Discography == | === Albums ===,328330,C,0,0,2
"Lonely Girl (1968, compilation)",0,35,== Discography == | === Albums ===,328330,C,0,0,1
"Great Performances (1968, compilation)",0,36,== Discography == | === Albums ===,328330,C,0,0,1
Laurel Canyon (1969),0,37,== Discography == | === Albums ===,328330,C,0,0,1
Put a Little Love in Your Heart (1969),0,38,== Discography == | === Albums ===,328330,C,0,0,1
To Be Free (1970),0,39,== Discography == | === Albums ===,328330,C,0,0,1
Songs (1971),0,40,== Discography == | === Albums ===,328330,C,0,0,1
Jackie (1972),0,41,== Discography == | === Albums ===,328330,C,0,0,1
Your Baby Is a Lady (1974),0,42,== Discography == | === Albums ===,328330,C,0,0,1
New Arrangement (1975),0,43,== Discography == | === Albums ===,328330,C,0,0,1
"The Very Best of Jackie DeShannon (1975, compilation)",0,44,== Discography == | === Albums ===,328330,C,2,0,1
You're the Only Dancer (1977),0,45,== Discography == | === Albums ===,328330,C,0,0,1
Quick Touches (1978),0,46,== Discography == | === Albums ===,328330,C,0,0,1
"Together (1980, soundtrack)",0,47,== Discography == | === Albums ===,328330,C,0,0,1
"Pop Princess (1981, compilation)",0,48,== Discography == | === Albums ===,328330,C,0,0,1
"Jackie DeShannon (1985, compilation)",0,49,== Discography == | === Albums ===,328330,C,2,0,1
What the World Needs Now Is ...:,0,50,== Discography == | === Albums ===,328330,C,0,0,1
"The Definitive Collection (1994, compilation)",1,50,== Discography == | === Albums ===,328330,C,0,0,1
"Good as Gold! (1990, compilation)",0,51,== Discography == | === Albums ===,328330,C,0,0,1
"The Best of Jackie DeShannon (1991, compilation)",0,52,== Discography == | === Albums ===,328330,C,2,0,1
Trouble with Jackie Dee (1991),0,53,== Discography == | === Albums ===,328330,C,0,0,1
"The Early Years (1998, compilation)",0,54,== Discography == | === Albums ===,328330,C,0,0,2
"Come and Get Me: Best of... 1958–1980 (2000, compilation)",0,55,== Discography == | === Albums ===,328330,C,0,0,2
You Know Me (2000),0,56,== Discography == | === Albums ===,328330,C,0,0,1
"High Coinage: The Songwriters Collection 1960–1984 (2007, compilation)",0,57,== Discography == | === Albums ===,328330,C,0,0,2
"You Won't Forget Me: The Complete Liberty Singles Volume 1 (2009, UK compilation)",0,58,== Discography == | === Albums ===,328330,C,0,1,1
"Come and Get Me: The Complete Liberty and Imperial Singles Volume 2 (2011, UK compilation)",0,59,== Discography == | === Albums ===,328330,C,0,1,1
"When You Walk in the Room (2011, songs newly recorded)",0,60,== Discography == | === Albums ===,328330,C,0,0,1
"Keep Me in Mind: The Complete Imperial and Liberty Singles, Volume 3 (2012, UK compilation)",0,61,== Discography == | === Albums ===,328330,C,0,1,1
"All the Love: The Lost Atlantic Recordings (2015, previously unreleased 1971 album)",0,62,== Discography == | === Albums ===,328330,C,0,0,2
"Stone Cold Soul: The Complete Capitol Recordings (2018, compilation)",0,63,== Discography == | === Albums ===,328330,C,0,0,1
===,0,64,== Discography == | === Singles ===,328330,N,0,0,0
Singles =,1,64,== Discography == | === Singles ===,328330,N,0,0,0
==,2,64,== Discography == | === Singles ===,328330,N,0,0,0
"Images of each record from 1956 to 1960, including additional liner notes, are found at ""Sweet Sherry: The Early Recording Career of Jackie DeShannon"" by Pete Lerner.",0,65,== Discography == | === Singles ===,328330,Y,4,1,1
==,0,66,== Film appearances ==,328330,N,0,0,0
Film appearances ==,1,66,== Film appearances ==,328330,N,0,0,0
Surf Party (1963),0,67,== Film appearances ==,328330,C,0,0,1
Intimacy (1966),0,68,== Film appearances ==,328330,C,0,0,1
C'mon Let's Live a Little (1967),0,69,== Film appearances ==,328330,C,0,0,1
==,0,70,== TV appearances ==,328330,N,0,0,0
TV appearances ==,1,70,== TV appearances ==,328330,N,0,0,0
Hollywood A Go Go (1965),0,71,== TV appearances ==,328330,C,0,1,1
Hullabaloo (1965),0,72,== TV appearances ==,328330,C,0,0,1
My Three Sons (1967),0,73,== TV appearances ==,328330,C,0,0,1
Playboy After Dark (1969),0,74,== TV appearances ==,328330,C,0,0,1
The Wild Wild West (1969) (The Night of the Janus),0,75,== TV appearances ==,328330,C,0,0,2
The Johnny Cash Show (1970),0,76,== TV appearances ==,328330,C,0,0,1
Flip Wilson Show (1970),0,77,== TV appearances ==,328330,C,1,0,1
The Virginian (1970),0,78,== TV appearances ==,328330,C,0,0,1
The Catcher (1972),0,79,== TV appearances ==,328330,C,0,0,1
The Midnight Special (1976),0,80,== TV appearances ==,328330,C,0,0,2
"Later... with Jools Holland, Series 41, Episode 6, BBC TWO (2012)",0,81,== TV appearances ==,328330,C,2,0,1
==,0,82,== References ==,328330,N,0,0,0
References ==,1,82,== References ==,328330,N,0,0,0
==,0,83,== External links ==,328330,N,0,0,0
External links ==,1,83,== External links ==,328330,N,0,0,0
Official website,0,84,== External links ==,328330,N,0,0,0
Jackie DeShannon at the Internet Movie Database,0,85,== External links ==,328330,C,2,0,0
"""Sweet Sherry: The Early Recording Career of Jackie DeShannon"" by Pete Lerner",0,86,== External links ==,328330,C,4,1,0
